object_name    obs_date              freq  file_name                             comment
J0706+3744     2013-10-04     4.97938e+09  J0706+3744_C_2013_10_04_lic_map.fits  distance = 4337.8
J0732+4335     2018-07-10     4.344e+09    J0732+4335_C_2018_07_10_pet_map.fits  distance = 38.1
J0533+6201     2016-08-06     4.344e+09    J0533+6201_C_2016_08_06_pet_map.fits  distance = 4.5
J0140-2917     2022-07-07     4.352e+09    J0140-2917_C_2022_07_07_pet_map.fits  distance = 9.5
J2249-2634     2022-11-29     4.352e+09    J2249-2634_C_2022_11_29_pet_map.fits  distance = 9.2
J0152-2718     2016-01-29     4.344e+09    J0152-2718_C_2016_01_29_pet_map.fits  distance = 6.3
J2030+1552     2022-12-02     4.352e+09    J2030+1552_C_2022_12_02_pet_map.fits  distance = 6.3
J2313+3730     2021-12-09     4.352e+09    J2313+3730_C_2021_12_09_pet_map.fits  distance = 5.1
J1019+4408     2021-09-26     4.352e+09    J1019+4408_C_2021_09_26_pet_map.fits  distance = 4.1
J0319+4130     1996-06-05     4.91599e+09  J0319+4130_C_1996_06_05_gur_map.fits  distance = 7.1
J0633-2629     2020-10-02     4.344e+09    J0633-2629_C_2020_10_02_pet_map.fits  distance = 4.5
J1130+381A     2020-09-25     4.344e+09    J1130+381A_C_2020_09_25_pet_map.fits  distance = 1199.0
J2227+0037     2021-01-29     4.344e+09    J2227+0037_C_2021_01_29_pet_map.fits  distance = 8.1
J1543-4345     2014-02-07     4.344e+09    J1543-4345_C_2014_02_07_pet_map.fits  distance = 7.6
J2337-0620     2021-10-30     4.352e+09    J2337-0620_C_2021_10_30_pet_map.fits  distance = 7.3
J2337-0620     2022-07-07(2)  4.352e+09    J2337-0620_C_2022_07_07_pet_map.fits  distance = 8.5
J0506+2820     2021-01-29     4.344e+09    J0506+2820_C_2021_01_29_pet_map.fits  distance = 256.0
J0800+3924     2016-07-10     4.344e+09    J0800+3924_C_2016_07_10_pet_map.fits  distance = 56.1
J0532-3941     2021-09-21     4.352e+09    J0532-3941_C_2021_09_21_pet_map.fits  distance = 9.5
J0322-3848     2015-08-18     4.344e+09    J0322-3848_C_2015_08_18_pet_map.fits  distance = 8.1
J1811-2759     2018-09-15     4.344e+09    J1811-2759_C_2018_09_15_pet_map.fits  distance = 5.1
J0344+1341     2022-07-07     4.352e+09    J0344+1341_C_2022_07_07_pet_map.fits  distance = 6.1
J1534-3805     2018-10-16(2)  4.344e+09    J1534-3805_C_2018_10_16_pet_map.fits  distance = 4.1
J0809+8702     2014-01-07     4.344e+09    J0809+8702_C_2014_01_07_pet_map.fits  distance = 268.8
J0600-3756     2016-05-28     4.344e+09    J0600-3756_C_2016_05_28_pet_map.fits  distance = 4.0
J0231+2928     2021-10-12     4.352e+09    J0231+2928_C_2021_10_12_pet_map.fits  distance = 4.1
J1727-1057     2022-06-14     4.352e+09    J1727-1057_C_2022_06_14_pet_map.fits  distance = 4.0
J1621-3837     2019-08-08     4.344e+09    J1621-3837_C_2019_08_08_pet_map.fits  distance = 113.1
J2113-3838     2019-07-27     4.344e+09    J2113-3838_C_2019_07_27_pet_map.fits  distance = 13.2
J0221+6159     2018-09-19(2)  4.344e+09    J0221+6159_C_2018_09_19_pet_map.fits  distance = 9.2
J1017+1832     2019-11-11     4.344e+09    J1017+1832_C_2019_11_11_pet_map.fits  distance = 131.2
J1736-3331     2022-06-26     4.352e+09    J1736-3331_C_2022_06_26_pet_map.fits  distance = 4.1
J0749-3240     2018-12-12     4.344e+09    J0749-3240_C_2018_12_12_pet_map.fits  distance = 9.0
J1726+2525     2022-12-01     4.352e+09    J1726+2525_C_2022_12_01_pet_map.fits  distance = 4.1
J1123-2528     2015-11-10(2)  4.344e+09    J1123-2528_C_2015_11_10_pet_map.fits  distance = 5.0
J0025-1247     2022-09-14(2)  4.352e+09    J0025-1247_C_2022_09_14_pet_map.fits  distance = 5.1
J0025-1247     2021-09-27     4.352e+09    J0025-1247_C_2021_09_27_pet_map.fits  distance = 6.4
J0648+1516     2013-10-04     4.97938e+09  J0648+1516_C_2013_10_04_lic_map.fits  distance = 4.5
J0656-3446     2019-07-26     4.344e+09    J0656-3446_C_2019_07_26_pet_map.fits  distance = 10.0
J0401-3625     2020-09-24     4.344e+09    J0401-3625_C_2020_09_24_pet_map.fits  distance = 17.8
J0821-2729     2022-11-18     4.352e+09    J0821-2729_C_2022_11_18_pet_map.fits  distance = 9.2
J1439+2824     2022-07-01     4.352e+09    J1439+2824_C_2022_07_01_pet_map.fits  distance = 12.0
J1239-2022     2021-12-07     4.352e+09    J1239-2022_C_2021_12_07_pet_map.fits  distance = 7.1
J0741-1910     2021-09-26     4.352e+09    J0741-1910_C_2021_09_26_pet_map.fits  distance = 4.5
J1750-3727     2022-01-19     4.352e+09    J1750-3727_C_2022_01_19_pet_map.fits  distance = 4.1
J0440-4333     2018-05-28     4.344e+09    J0440-4333_C_2018_05_28_pet_map.fits  distance = 118.8
J1439-3955     2015-11-10(2)  4.344e+09    J1439-3955_C_2015_11_10_pet_map.fits  distance = 7.6
J0813+481C     2016-01-08     4.344e+09    J0813+481C_C_2016_01_08_pet_map.fits  distance = 272.1
J0244+3933     2018-08-29     4.344e+09    J0244+3933_C_2018_08_29_pet_map.fits  distance = 10.2
J0203-2400     2021-09-21     4.352e+09    J0203-2400_C_2021_09_21_pet_map.fits  distance = 6.0
J1304-3537     2020-11-14     4.344e+09    J1304-3537_C_2020_11_14_pet_map.fits  distance = 5.4
J0103+0521     2022-10-13(2)  4.352e+09    J0103+0521_C_2022_10_13_pet_map.fits  distance = 7.3
J0658+2754     2013-04-22     4.35997e+09  J0658+2754_C_2013_04_22_pet_map.fits  distance = 12.2
J1447-2238     2022-03-22     4.352e+09    J1447-2238_C_2022_03_22_pet_map.fits  distance = 8.1
