object_name    obs_date             freq  file_name                             comment
J0811-4929     2017-03-27     2252000000  J0811-4929_S_2017_03_27_pet_map.fits  distance = 9.1
J0116-2052     2013-07-24     2305490000  J0116-2052_S_2013_07_24_pet_map.fits  distance = 5.0
J0648-4734     2017-03-23     2252000000  J0648-4734_S_2017_03_23_pet_map.fits  distance = 15.0
J1354-0206     1996-05-15     2268302500  J1354-0206_S_1996_05_15_yyk_map.fits  distance = 154.2
J0623+2241     1996-03-13     2266896250  J0623+2241_S_1996_03_13_yyk_map.fits  distance = 109.7
J1908-2942     2014-01-04     2276000000  J1908-2942_S_2014_01_04_pet_map.fits  distance = 4.1
J0334-4008     2021-05-19     2277750000  J0334-4008_S_2021_05_19_pet_map.fits  distance = 4.1
J0334-4008     2017-08-05     2291875000  J0334-4008_S_2017_08_05_pus_map.fits  distance = 5.0
J2041-3733     2022-01-19     2277750000  J2041-3733_S_2022_01_19_pet_map.fits  distance = 190.7
J0825+0309     1995-04-19     2266896250  J0825+0309_S_1995_04_19_yyk_map.fits  distance = 142.8
J2312+1444     2010-11-08     2258990000  J2312+1444_S_2010_11_08_pet_map.fits  distance = 5.1
J0813+481C     2018-07-05     2252000000  J0813+481C_S_2018_07_05_pet_map.fits  distance = 88.2
J1018-3123     2002-01-31     2301974375  J1018-3123_S_2002_01_31_yyk_map.fits  distance = 6.7
J1325+651B     2011-03-16     2258990000  J1325+651B_S_2011_03_16_pet_map.fits  distance = 7.8
J1200+5300     1994-08-12     2266896250  J1200+5300_S_1994_08_12_yyk_map.fits  distance = 17.1
J1410+6216     1995-04-19     2266896250  J1410+6216_S_1995_04_19_yyk_map.fits  distance = 143.2
J2320-1919     2018-12-20     2252000000  J2320-1919_S_2018_12_20_pet_map.fits  distance = 20.6
J2320-1919     2018-01-25     2252000000  J2320-1919_S_2018_01_25_pet_map.fits  distance = 27.1
J1922+1530     2014-08-09     2276000000  J1922+1530_S_2014_08_09_zb_map.fits   distance = 4.1
J1459+7140     2005-05-12     2309474375  J1459+7140_S_2005_05_12_yyk_map.fits  distance = 46.6
J1459+7140     2007-03-01     2279458750  J1459+7140_S_2007_03_01_sok_map.fits  distance = 41.5
J0858+1405     2019-01-21     2252000000  J0858+1405_S_2019_01_21_pet_map.fits  distance = 29.0
J0610+7248     2018-12-04     2252000000  J0610+7248_S_2018_12_04_pet_map.fits  distance = 39.4
J1022-1037     1997-05-07     2269474375  J1022-1037_S_1997_05_07_yyk_map.fits  distance = 9.2
J1343+6602     2018-07-29(2)  2276000000  J1343+6602_S_2018_07_29_pet_map.fits  distance = 5.7
J0231-3935     2002-05-14     2301974375  J0231-3935_S_2002_05_14_yyk_map.fits  distance = 10.0
J1829-3904     2017-09-18     2252000000  J1829-3904_S_2017_09_18_pet_map.fits  distance = 5.0
J1330+2509     2017-06-15     2252000000  J1330+2509_S_2017_06_15_pet_map.fits  distance = 8.2
J1223+5037     2011-03-15(2)  2258990000  J1223+5037_S_2011_03_15_pet_map.fits  distance = 7.0
J0144-3938     2002-05-14     2301974375  J0144-3938_S_2002_05_14_yyk_map.fits  distance = 29.6
J2029+4636     1996-08-10     2268302500  J2029+4636_S_1996_08_10_yyk_map.fits  distance = 6.7
J0538-4405     2022-07-05     2315250000  J0538-4405_S_2022_07_05_pet_map.fits  distance = 5.4
J0538-4405     2007-12-05     2309474375  J0538-4405_S_2007_12_05_pus_map.fits  distance = 5.0
J0538-4405     2007-03-27     2305490000  J0538-4405_S_2007_03_27_pet_map.fits  distance = 39.9
J0525+8737     2020-03-08     2284000000  J0525+8737_S_2020_03_08_pet_map.fits  distance = 13.4
J0525+8737     2006-02-16     2305490000  J0525+8737_S_2006_02_16_pet_map.fits  distance = 5.1
J2030+3700     2018-09-24(2)  2252000000  J2030+3700_S_2018_09_24_pet_map.fits  distance = 289.0
J2030+3700     2017-06-15(2)  2252000000  J2030+3700_S_2017_06_15_pet_map.fits  distance = 4.5
J1454-4012     2018-07-31     2252000000  J1454-4012_S_2018_07_31_pet_map.fits  distance = 14.8
J2123-0519     2017-10-09     2291875000  J2123-0519_S_2017_10_09_pus_map.fits  distance = 4.5
J0631-4154     2006-07-11     2309474375  J0631-4154_S_2006_07_11_ojh_map.fits  distance = 4.1
J1209+433A     2017-05-01     2252000000  J1209+433A_S_2017_05_01_pet_map.fits  snr = 6.9
J1305-3132     2002-01-31     2301974375  J1305-3132_S_2002_01_31_yyk_map.fits  distance = 4.1
J1919+0619     2002-01-31     2301974375  J1919+0619_S_2002_01_31_yyk_map.fits  distance = 119.7
J0009+0628     2021-07-07     2277750000  J0009+0628_S_2021_07_07_pet_map.fits  distance = 4.5
J0551+3751     2017-09-06     2313250000  J0551+3751_S_2017_09_06_pet_map.fits  distance = 4.5
J1300+141A     2017-05-27     2252000000  J1300+141A_S_2017_05_27_pet_map.fits  distance = 5.0
J2358+8142     2006-02-23     2305490000  J2358+8142_S_2006_02_23_pet_map.fits  distance = 4.5
J0608-3847     2017-09-18     2252000000  J0608-3847_S_2017_09_18_pet_map.fits  distance = 4.1
J1751-2524     2017-05-31     2291875000  J1751-2524_S_2017_05_31_pus_map.fits  distance = 5.1
J1751-2524     2002-01-31     2301974375  J1751-2524_S_2002_01_31_yyk_map.fits  distance = 4.1
J1547+4937     2015-01-22     2276000000  J1547+4937_S_2015_01_22_pet_map.fits  distance = 12.2
J1754+0459     2014-12-20     2291875000  J1754+0459_S_2014_12_20_pus_map.fits  distance = 81.0
J1754+0459     2017-08-05     2291875000  J1754+0459_S_2017_08_05_pus_map.fits  distance = 81.0
J1754+0459     2017-08-05     2252000000  J1754+0459_S_2017_08_05_pet_map.fits  distance = 82.4
J0032+1953     2017-05-01     2291875000  J0032+1953_S_2017_05_01_pus_map.fits  distance = 4.1
J0024-4202     2002-01-31     2301974375  J0024-4202_S_2002_01_31_yyk_map.fits  distance = 60.1
J1342-2900     2010-10-13     2309458750  J1342-2900_S_2010_10_13_pus_map.fits  distance = 4.0
J0721-3528     2002-01-31     2301974375  J0721-3528_S_2002_01_31_yyk_map.fits  distance = 13.9
J2349+7517     2018-02-09     2252000000  J2349+7517_S_2018_02_09_pet_map.fits  distance = 260.6
J0116+2422     1996-01-02     2266896250  J0116+2422_S_1996_01_02_yyk_map.fits  distance = 29.8
J1300+8054     2020-03-08     2284000000  J1300+8054_S_2020_03_08_pet_map.fits  distance = 10.8
