object_name    obs_date             freq  file_name                             comment
J1155+6808     2013-04-21     7624000000  J1155+6808_X_2013_04_21_pet_map.fits  distance = 71.6
J2214-3835     2017-03-27     8652000000  J2214-3835_X_2017_03_27_pet_map.fits  distance = 4.0
J0841-3555     2013-02-08     7639968750  J0841-3555_X_2013_02_08_pet_map.fits  distance = 159.1
J0814-2521     2022-11-18     7616000000  J0814-2521_X_2022_11_18_pet_map.fits  distance = 5.0
J0632-2348     2019-07-26     7624000000  J0632-2348_X_2019_07_26_pet_map.fits  distance = 4.1
J1544-2550     2016-02-17(2)  7624000000  J1544-2550_X_2016_02_17_pet_map.fits  distance = 9.9
J1228-3724     2016-08-23     7624000000  J1228-3724_X_2016_08_23_pet_map.fits  distance = 6.3
J0836-0713     2016-05-16     7624000000  J0836-0713_X_2016_05_16_pet_map.fits  distance = 4.0
J1640-1509     2019-11-11     7624000000  J1640-1509_X_2019_11_11_pet_map.fits  distance = 4.0
J1030-3519     2022-07-28     7616000000  J1030-3519_X_2022_07_28_pet_map.fits  distance = 10.0
J1130+381A     2020-09-25     7624000000  J1130+381A_X_2020_09_25_pet_map.fits  distance = 1999.0
J0733-2750     2019-07-26     7624000000  J0733-2750_X_2019_07_26_pet_map.fits  distance = 4.5
J2035+1857     2002-01-31     8645724375  J2035+1857_X_2002_01_31_yyk_map.fits  distance = 6.4
J1415-1502     2015-09-29     7624000000  J1415-1502_X_2015_09_29_pet_map.fits  distance = 4.0
J1851-3144     2020-12-03     7624000000  J1851-3144_X_2020_12_03_pet_map.fits  distance = 4.0
J0116-2052     2013-07-24     8642240000  J0116-2052_X_2013_07_24_pet_map.fits  distance = 10.4
J0116-2052     2017-07-16     8652000000  J0116-2052_X_2017_07_16_pet_map.fits  distance = 198.1
J0120-2810     2016-05-15     7624000000  J0120-2810_X_2016_05_15_pet_map.fits  distance = 277.6
J0136-3240     2021-09-21     7616000000  J0136-3240_X_2021_09_21_pet_map.fits  distance = 5.1
J1444+2035     2022-07-01     7616000000  J1444+2035_X_2022_07_01_pet_map.fits  distance = 4.0
J1254+0859     2014-08-05     8667875000  J1254+0859_X_2014_08_05_pus_map.fits  distance = 134.7
J0532-3941     2002-01-31     8645724375  J0532-3941_X_2002_01_31_yyk_map.fits  distance = 126.8
J1238-4541     2018-07-10     7624000000  J1238-4541_X_2018_07_10_pet_map.fits  distance = 149.9
J0334-4008     2017-10-21     8667875000  J0334-4008_X_2017_10_21_pus_map.fits  distance = 4.1
J0334-4008     2021-05-19     8635750000  J0334-4008_X_2021_05_19_pet_map.fits  distance = 5.1
J1534-3805     2018-10-16(2)  7624000000  J1534-3805_X_2018_10_16_pet_map.fits  distance = 6.1
J0600-3756     2016-05-28     7624000000  J0600-3756_X_2016_05_28_pet_map.fits  distance = 296.4
J1500-2557     2021-02-01     7624000000  J1500-2557_X_2021_02_01_pet_map.fits  distance = 4.5
J0321+4359     2018-09-24     8652000000  J0321+4359_X_2018_09_24_pet_map.fits  distance = 33.2
J2113-3838     2019-07-27     7624000000  J2113-3838_X_2019_07_27_pet_map.fits  distance = 10.0
J0221+6159     2018-09-19(2)  7624000000  J0221+6159_X_2018_09_19_pet_map.fits  distance = 4.0
J1802-3940     2021-01-27     8635750000  J1802-3940_X_2021_01_27_pet_map.fits  distance = 8.2
J1806-3722     2010-03-11     8349937500  J1806-3722_X_2010_03_11_dew_map.fits  distance = 4.1
J1510-2451     2019-01-21     8652000000  J1510-2451_X_2019_01_21_pet_map.fits  distance = 339.9
J1510-2451     2015-10-16(2)  7624000000  J1510-2451_X_2015_10_16_pet_map.fits  distance = 5.4
J0453+100A     2020-09-24(2)  7624000000  J0453+100A_X_2020_09_24_pet_map.fits  distance = 346.8
J1123-2528     2015-11-10(2)  7624000000  J1123-2528_X_2015_11_10_pet_map.fits  distance = 104.7
J2043-2633     2015-09-05     7624000000  J2043-2633_X_2015_09_05_pet_map.fits  distance = 6.1
J1705+5214     2021-02-16     7624000000  J1705+5214_X_2021_02_16_pet_map.fits  distance = 17.1
J0632-3159     2016-07-28     7624000000  J0632-3159_X_2016_07_28_pet_map.fits  distance = 156.9
J0237-1433     2021-09-27     7616000000  J0237-1433_X_2021_09_27_pet_map.fits  distance = 4.0
J0440-4333     2018-05-28     7624000000  J0440-4333_X_2018_05_28_pet_map.fits  distance = 6.1
J1439-3955     2015-11-10(2)  7624000000  J1439-3955_X_2015_11_10_pet_map.fits  distance = 46.7
J0848-3423     2021-09-27     7616000000  J0848-3423_X_2021_09_27_pet_map.fits  distance = 6.1
J0103+0521     2022-10-13(2)  7616000000  J0103+0521_X_2022_10_13_pet_map.fits  distance = 5.7
J1834-1237     2020-12-13     7624000000  J1834-1237_X_2020_12_13_pet_map.fits  distance = 8.1
J1722-3717     2014-02-17     7624000000  J1722-3717_X_2014_02_17_pet_map.fits  distance = 4.5
J1018-3123     2002-01-31     8645724375  J1018-3123_X_2002_01_31_yyk_map.fits  distance = 18.7
J2000-1748     2014-01-29     7624000000  J2000-1748_X_2014_01_29_pet_map.fits  distance = 4.5
J0654-2713     2016-05-30     7624000000  J0654-2713_X_2016_05_30_pet_map.fits  distance = 5.1
J0222+6529     2021-09-27     7616000000  J0222+6529_X_2021_09_27_pet_map.fits  distance = 5.0
J1200+5300     1994-08-12     8336896250  J1200+5300_X_1994_08_12_yyk_map.fits  distance = 163.8
J1410+6216     1995-04-19     8336896250  J1410+6216_X_1995_04_19_yyk_map.fits  distance = 107.4
J0656-1408     2022-08-25(3)  8652000000  J0656-1408_X_2022_08_25_pet_map.fits  distance = 6.0
J1827-0405     1997-05-07     8339474375  J1827-0405_X_1997_05_07_yyk_map.fits  distance = 5.4
J1140+0152     2022-11-22     7616000000  J1140+0152_X_2022_11_22_pet_map.fits  distance = 4.0
J0331-0914     2020-09-24     7624000000  J0331-0914_X_2020_09_24_pet_map.fits  distance = 4.5
J2059-1518     2020-02-01     7624000000  J2059-1518_X_2020_02_01_pet_map.fits  distance = 6.7
J0516-7237     2010-03-11     8349937500  J0516-7237_X_2010_03_11_dew_map.fits  distance = 9.2
J1418-2621     2022-03-22     7616000000  J1418-2621_X_2022_03_22_pet_map.fits  distance = 8.9
J2208-4509     2018-06-05     7624000000  J2208-4509_X_2018_06_05_pet_map.fits  distance = 4.5
J1605-1139     2021-09-27     7616000000  J1605-1139_X_2021_09_27_pet_map.fits  distance = 5.0
J1728+2212     2016-05-05(2)  7624000000  J1728+2212_X_2016_05_05_pet_map.fits  distance = 11.7
J0046+6225     2021-09-27     7616000000  J0046+6225_X_2021_09_27_pet_map.fits  distance = 4.1
J1145+6958     2015-08-27(2)  7624000000  J1145+6958_X_2015_08_27_pet_map.fits  distance = 744.6
J1635+3644     2022-09-18     7616000000  J1635+3644_X_2022_09_18_pet_map.fits  distance = 5.1
J1450-4335     2014-02-07     7624000000  J1450-4335_X_2014_02_07_pet_map.fits  distance = 269.0
J1950-3226     2019-02-04(2)  7624000000  J1950-3226_X_2019_02_04_pet_map.fits  distance = 6.1
J1803-2456     2010-01-07     8313865000  J1803-2456_X_2010_01_07_pet_map.fits  distance = 5.0
J1803-2456     2022-06-26     7616000000  J1803-2456_X_2022_06_26_pet_map.fits  distance = 5.8
J1208-1756     2018-05-22     7624000000  J1208-1756_X_2018_05_22_pet_map.fits  distance = 51.0
J1614-0012     2021-02-01     7624000000  J1614-0012_X_2021_02_01_pet_map.fits  distance = 5.1
J2340+0002     2013-08-01     7624000000  J2340+0002_X_2013_08_01_pet_map.fits  distance = 5.0
J1139-1405     2013-04-21     7624000000  J1139-1405_X_2013_04_21_pet_map.fits  distance = 4.0
J1745-2820     2018-04-29     8652000000  J1745-2820_X_2018_04_29_pet_map.fits  distance = 178.0
J1813-2015     2010-02-20     8313865000  J1813-2015_X_2010_02_20_pet_map.fits  distance = 4.5
J1813-2015     2010-02-09     8313865000  J1813-2015_X_2010_02_09_pet_map.fits  distance = 5.1
J1813-2015     2010-02-24     8313865000  J1813-2015_X_2010_02_24_pet_map.fits  distance = 5.8
J1813-2015     2010-02-19     8313865000  J1813-2015_X_2010_02_19_pet_map.fits  distance = 5.7
J2122-3912     2020-10-04     7624000000  J2122-3912_X_2020_10_04_pet_map.fits  distance = 4.5
J1901+8623     2020-03-02     8652000000  J1901+8623_X_2020_03_02_pet_map.fits  distance = 6.4
J1901+8623     2006-02-16     8642240000  J1901+8623_X_2006_02_16_pet_map.fits  distance = 5.1
J1022-1037     1997-05-07     8339474375  J1022-1037_X_1997_05_07_yyk_map.fits  distance = 157.9
J1213+1307     1996-01-02     8336896250  J1213+1307_X_1996_01_02_yyk_map.fits  distance = 129.8
J0507-3507     2019-07-29(2)  7624000000  J0507-3507_X_2019_07_29_pet_map.fits  distance = 7.1
J0639-3730     2021-09-27     7616000000  J0639-3730_X_2021_09_27_pet_map.fits  distance = 4.1
J0231-3935     2002-05-14     8645724375  J0231-3935_X_2002_05_14_yyk_map.fits  distance = 130.4
J1350+6132     1995-04-19     8336896250  J1350+6132_X_1995_04_19_yyk_map.fits  distance = 96.0
J0006-2801     2021-09-21     7616000000  J0006-2801_X_2021_09_21_pet_map.fits  distance = 6.1
J0540+4905     2021-09-27     7616000000  J0540+4905_X_2021_09_27_pet_map.fits  distance = 4.1
J1829-3904     2017-09-18     8652000000  J1829-3904_X_2017_09_18_pet_map.fits  distance = 4.1
J1330+2509     2014-06-09     8652000000  J1330+2509_X_2014_06_09_mxu_map.fits  distance = 6.3
J1330+2509     2002-05-14     8645724375  J1330+2509_X_2002_05_14_yyk_map.fits  distance = 70.3
J1330+2509     2018-05-15     8652000000  J1330+2509_X_2018_05_15_pet_map.fits  distance = 8.1
J1330+2509     2014-06-09     8652000000  J1330+2509_X_2014_06_09_pet_map.fits  distance = 6.3
J1330+2509     2007-03-27     8642240000  J1330+2509_X_2007_03_27_pet_map.fits  distance = 5.8
J1330+2509     2014-06-09     8667875000  J1330+2509_X_2014_06_09_pus_map.fits  distance = 4.5
J1402+0342     2016-02-17     7624000000  J1402+0342_X_2016_02_17_pet_map.fits  distance = 48.4
J2251+1848     2021-09-08     8635750000  J2251+1848_X_2021_09_08_pet_map.fits  distance = 6.3
J0227+1901     2021-01-29     7624000000  J0227+1901_X_2021_01_29_pet_map.fits  distance = 5.8
J1605-2854     2022-04-11(2)  7616000000  J1605-2854_X_2022_04_11_pet_map.fits  distance = 4.1
J2335+6109     2016-08-07     7624000000  J2335+6109_X_2016_08_07_pet_map.fits  distance = 6.3
J1541-1810     2021-01-25     7624000000  J1541-1810_X_2021_01_25_pet_map.fits  distance = 5.4
